species,health_band_min,health_band_max,carbon_per_year_kg,price_per_kg_inr,carbon_units_per_day
oak,10,20,4.4,100,0.012
oak,20,30,6.6,100,0.018
oak,30,50,9.9,100,0.027
oak,50,70,15.4,100,0.042
oak,70,85,18.7,100,0.051
oak,85,100,22.0,100,0.060
pine,10,20,3.2,100,0.009
pine,20,30,4.8,100,0.013
pine,30,50,7.2,100,0.020
pine,50,70,11.2,100,0.031
pine,70,85,13.6,100,0.037
pine,85,100,16.0,100,0.044
maple,10,20,3.6,100,0.010
maple,20,30,5.4,100,0.015
maple,30,50,8.1,100,0.022
maple,50,70,12.6,100,0.035
maple,70,85,15.3,100,0.042
maple,85,100,18.0,100,0.049
bamboo,10,20,7.0,100,0.019
bamboo,20,30,10.5,100,0.029
bamboo,30,50,15.75,100,0.043
bamboo,50,70,24.5,100,0.067
bamboo,70,85,29.75,100,0.082
bamboo,85,100,35.0,100,0.096
eucalyptus,10,20,5.0,100,0.014
eucalyptus,20,30,7.5,100,0.021
eucalyptus,30,50,11.25,100,0.031
eucalyptus,50,70,17.5,100,0.048
eucalyptus,70,85,21.25,100,0.058
eucalyptus,85,100,25.0,100,0.068
mangrove,10,20,6.0,100,0.016
mangrove,20,30,9.0,100,0.025
mangrove,30,50,13.5,100,0.037
mangrove,50,70,21.0,100,0.058
mangrove,70,85,25.5,100,0.070
mangrove,85,100,30.0,100,0.082
teak,10,20,4.0,100,0.011
teak,20,30,6.0,100,0.016
teak,30,50,9.0,100,0.025
teak,50,70,14.0,100,0.038
teak,70,85,17.0,100,0.047
teak,85,100,20.0,100,0.055
neem,10,20,3.0,100,0.008
neem,20,30,4.5,100,0.012
neem,30,50,6.75,100,0.018
neem,50,70,10.5,100,0.029
neem,70,85,12.75,100,0.035
neem,85,100,15.0,100,0.041
banyan,10,20,5.6,100,0.015
banyan,20,30,8.4,100,0.023
banyan,30,50,12.6,100,0.035
banyan,50,70,19.6,100,0.054
banyan,70,85,23.8,100,0.065
banyan,85,100,28.0,100,0.077
tulip_poplar,10,20,4.8,100,0.013
tulip_poplar,20,30,7.2,100,0.020
tulip_poplar,30,50,10.8,100,0.030
tulip_poplar,50,70,16.8,100,0.046
tulip_poplar,70,85,20.4,100,0.056
tulip_poplar,85,100,24.0,100,0.066
mango,10,20,4.0,100,0.011
mango,20,30,6.0,100,0.016
mango,30,50,9.0,100,0.025
mango,50,70,14.0,100,0.038
mango,70,85,17.0,100,0.047
mango,85,100,20.0,100,0.055
banana,10,20,1.6,100,0.004
banana,20,30,2.4,100,0.007
banana,30,50,3.6,100,0.010
banana,50,70,5.6,100,0.015
banana,70,85,6.8,100,0.019
banana,85,100,8.0,100,0.022
apple,10,20,3.6,100,0.010
apple,20,30,5.4,100,0.015
apple,30,50,8.1,100,0.022
apple,50,70,12.6,100,0.035
apple,70,85,15.3,100,0.042
apple,85,100,18.0,100,0.049
guava,10,20,2.4,100,0.007
guava,20,30,3.6,100,0.010
guava,30,50,5.4,100,0.015
guava,50,70,8.4,100,0.023
guava,70,85,10.2,100,0.028
guava,85,100,12.0,100,0.033
papaya,10,20,1.2,100,0.003
papaya,20,30,1.8,100,0.005
papaya,30,50,2.7,100,0.007
papaya,50,70,4.2,100,0.012
papaya,70,85,5.1,100,0.014
papaya,85,100,6.0,100,0.016
pomegranate,10,20,2.0,100,0.005
pomegranate,20,30,3.0,100,0.008
pomegranate,30,50,4.5,100,0.012
pomegranate,50,70,7.0,100,0.019
pomegranate,70,85,8.5,100,0.023
pomegranate,85,100,10.0,100,0.027
cherry,10,20,2.8,100,0.008
cherry,20,30,4.2,100,0.012
cherry,30,50,6.3,100,0.017
cherry,50,70,9.8,100,0.027
cherry,70,85,11.9,100,0.033
cherry,85,100,14.0,100,0.038
peach,10,20,2.4,100,0.007
peach,20,30,3.6,100,0.010
peach,30,50,5.4,100,0.015
peach,50,70,8.4,100,0.023
peach,70,85,10.2,100,0.028
peach,85,100,12.0,100,0.033
lemon,10,20,2.0,100,0.005
lemon,20,30,3.0,100,0.008
lemon,30,50,4.5,100,0.012
lemon,50,70,7.0,100,0.019
lemon,70,85,8.5,100,0.023
lemon,85,100,10.0,100,0.027
grape,10,20,1.0,100,0.003
grape,20,30,1.5,100,0.004
grape,30,50,2.25,100,0.006
grape,50,70,3.5,100,0.010
grape,70,85,4.25,100,0.012
grape,85,100,5.0,100,0.014
olive,10,20,3.0,100,0.008
olive,20,30,4.5,100,0.012
olive,30,50,6.75,100,0.018
olive,50,70,10.5,100,0.029
olive,70,85,12.75,100,0.035
olive,85,100,15.0,100,0.041
coffee,10,20,1.6,100,0.004
coffee,20,30,2.4,100,0.007
coffee,30,50,3.6,100,0.010
coffee,50,70,5.6,100,0.015
coffee,70,85,6.8,100,0.019
coffee,85,100,8.0,100,0.022
tea,10,20,1.0,100,0.003
tea,20,30,1.5,100,0.004
tea,30,50,2.25,100,0.006
tea,50,70,3.5,100,0.010
tea,70,85,4.25,100,0.012
tea,85,100,5.0,100,0.014
jamun,10,20,3.6,100,0.010
jamun,20,30,5.4,100,0.015
jamun,30,50,8.1,100,0.022
jamun,50,70,12.6,100,0.035
jamun,70,85,15.3,100,0.042
jamun,85,100,18.0,100,0.049
chiku,10,20,2.4,100,0.007
chiku,20,30,3.6,100,0.010
